"Edit","Expert ID","Department","Title","Year","Pub.Date","Author(s)","Journal","Volume","Pages","Issue","DOI","EID","Publication Type","Scopus Indexed","WOS Indexed","UGC CARE - B","Crossref Citation","Scopus Citation","Access"
"1327002","163512","Department of Science and Humanities","Connectivity-An Elixir","2012","0000-00-00","Kumar SK, Vijendra","Mentor","5","25--27","","","","article","N","N","N","","",""
"1327004","163512","Department of Science and Humanities","BUSE Model: A Conflict Resolution Strategy for Intra Group Dynamics","2014","0000-00-00","Kumar SK, Vijendra and Bhende, Indira","International Journal of Organizational Behaviour \& Management Perspectives","3","723","","","","article","N","N","N","","",""
"1327006","163512","Department of Science and Humanities","Enabling critical thinking with panchatantra: A qualitative study","2011","0000-00-00","Jebastina, Gracy and Kumar SK, Vijendra","","","46","","","","inproceedings","N","N","N","","",""
"1327007","163512","Department of Science and Humanities","Leadership  grooming for management students:A pilot study","2011","0000-00-00","Kumar SK, Vijendra and Deshmukh, Sadhana","","","34","","","","inproceedings","N","N","N","","",""
"1327008","163512","Department of Science and Humanities","Mind over body and medicine: Using contracts to elicit positive responses in persons with CMI","2012","0000-00-00","Kumar SK, Vijendra and Nadig, Jayashree","","","45","","","","inproceedings","N","N","N","","",""
"1327010","163512","Department of Science and Humanities","Misuses of psychometric tests and its implications: Some case studies","2011","0000-00-00","Kumar SK, Vijendra and Srinath, Usha","","","16","","","","inproceedings","N","N","N","","",""
"1327011","163512","Department of Science and Humanities","Healthy Aging: Indian perspective","2011","0000-00-00","Kumar SK, Vijendra and Sharma, VM","Psychinsight","4","17","","","","article","N","N","N","","",""
"1327012","163512","Department of Science and Humanities","The role of remedial training in dealing with learning issues of students from low socio-economic backgorund","2011","0000-00-00","Rekha, K and Kumar SK, Vijendra and Moolya, Pushpa and Lokesvery","","","31","","","","inproceedings","N","N","N","","",""
"1327013","163512","Department of Science and Humanities","The need to enhance psychological well-being of visually challenged high school students through life skills training","2012","0000-00-00","Kumar SK, Vijendra and Krishnamurthy, A.R.","","","257--264","","","","inproceedings","N","N","N","","",""
"1327014","163512","Department of Science and Humanities","Process of life skills training in enabling the psychological wellbeing of visually challenged students","2014","0000-00-00","Kumar SK, Vijendra and Krishnamurthy, A.R.","","","504--510","","","","inproceedings","N","N","N","","",""
"1327017","163512","Department of Science and Humanities","Enabling psychological well-being of students with visual impirment through life skills training: An experiemntal study","2014","0000-00-00","Kumar SK, Vijendra and Krishnamurthy, A.R.","International Journal of Psychosocial Research","3","26--31","","","","article","N","N","N","","",""
"1327018","163512","Department of Science and Humanities","The effect of life skills training on dimensions of psychological well-being","2014","0000-00-00","Kumar SK, Vijendra and Krishnamurthy, AR","","","118","","","","inproceedings","N","N","N","","",""
"1327019","163512","Department of Science and Humanities","The impact of life skills training on psychological well-being","2015","0000-00-00","Kumar SK, Vijendra and Krishnamurthy, A.R.","","2","","","","","inproceedings","N","N","N","","",""
"1327020","163512","Department of Science and Humanities","The impact of life skills training on psychological well-being: The role of gender differences","2016","0000-00-00","Kumar SK, Vijendra and Krishnamurthy, A.R.","Indian Journal of Health and Wellbeing","7","193--197","","","","article","N","N","N","","",""
"1327021","163512","Department of Science and Humanities","Panchatantra: A Treatise on Life Skills Education and Training","2017","0000-00-00","Kumar SK., Vijendra and Krishnamurthy, A.R.","","","166--170","","","","inproceedings","N","N","N","","",""
"1327022","163512","Department of Science and Humanities","Understanding the Meaning of Life in  the Life of Madhavi","2018","0000-00-00","Kumar SK, Vijendra and Sharma, Naveen","International Journal of Indian Psychology","6","63--69","","","","article","N","N","N","","",""
"1327023","163512","Department of Science and Humanities","The Role of Reiki Healing and Mantra reciting on the Plants Growth: A Pilot Study","2018","0000-00-00","Kumar SK, Vijendra and Subramaniam, KV and Nagashree","","","82--83","","","","inproceedings","N","N","N","","",""
"1327024","163512","Department of Science and Humanities","Supra Conscious Meditation: A Process of Connecting Pancha Bhutas with the Chakras of Human Body","2019","0000-00-00","Kumar SK, Vijendra","","","Pp--131","","","","inproceedings","N","N","N","","",""
"1327025","163512","Department of Science and Humanities","Supra Conscious Meditation: A Process of Connecting Pancha Bhutas with the Chakras of Human Body-2","2020","0000-00-00","Kumar SK, Vijendra","esamskriti","","ebook","","","","misc","N","N","N","","",""
"1327027","163512","Department of Science and Humanities","The role of life skills training in enhancing self-esteem","2011","0000-00-00","Kumar SK, Vijendra and Managoli, Shobha and Pavithra","","","","","","","inproceedings","N","N","N","","",""
"1327037","163512","Department of Science and Humanities","Journey of Madhavi towards Meaningful life","2020","0000-00-00"," Kumar SK, Vijendra","Journey of Madhavi towards Meaningful life","","","","","","article","N","N","N","","",""
"1327222","163428","Department of Science and Humanities","Coefficient Inequalities for Certain Classes of Analytic and Univalent Functions.","2011","0000-00-00","Latha, S and Karthiyayini, O","International journal of Mathematical Archive","2","1--9","","","","article","N","N","N","","",""
"1327223","163428","Department of Science and Humanities","Convolution Conditions for Certain Analytic Functions.","2011","0000-00-00","Latha, S and Karthiyayini, O","International Journal of Mathematical Sciences and Engineering Applications.","5","","","","","article","N","N","N","","",""
"1327224","163428","Department of Science and Humanities","Inclusion and Neighborhood Properties of Certain Analytic Functions with negative coefficients.","2011","0000-00-00","Latha, S and Karthiyayini, O","Advances in Applied Mathematical Analysis","6","79--84","","","","article","N","N","N","","",""
"1327225","163428","Department of Science and Humanities","Coefficient Estimates for a certain class of analytic functions defined using the Generalized Carlson Shaffer Operator.","2012","0000-00-00","Karthiyayini, O and Latha, S","International Journal of Mathematical Archive","3","3472--3476","","","","article","N","N","N","","",""
"1327226","163428","Department of Science and Humanities","Neighborhoods of Certain Classes of Analytic Functions with negative co-efficients.","2012","0000-00-00","Latha, S and Karthiyayini, O","Advances in Applied Mathematical Analysis","7","93--102","","","","article","N","N","N","","",""
"1327227","163428","Department of Science and Humanities","Coefficient Inequalities for A New Class of Analytic Functions Defined Using The Convolution Structure.","2012","0000-00-00","Latha, S and Karthiyayini, O","Advances in Applied Mathematical Analysis","7","103--108","","","","article","N","N","N","","",""
"1327228","163428","Department of Science and Humanities","On subclasses of Ruscheweyh class functions of order $\alpha$ and type $\beta$.","2010","0000-00-00","Latha, S and Karthiyayini, O","Int. J. Math. Sci. Eng. Appl.","4","337--344","","","","article","N","N","N","","",""
"1327229","163428","Department of Science and Humanities","Certain Class of Analytic and Univalent Functions Involving the Ruscheweyh Derivative Operator.","2009","0000-00-00","Latha, S and Karthiyayini, O","International Journal of Mathematical Analysis","3","33--36","","","","article","N","N","N","","",""
"1327230","163428","Department of Science and Humanities","Subordination Results for a Class of $\Upsilon$--Spirallike Functions.","2017","0000-00-00","Karthiyayini, O and Sivasankari, V","Annals of Oradea University - Mathematics Fascicola","24","19--24","","","","article","N","N","N","","",""
"1327231","163428","Department of Science and Humanities","A New Subclass of Meromorphic Bi - Univalent Functions Associated with a Linear Operator.","2017","0000-00-00","Karthiyayini, O and Sivasankari, V","International Journal of Pure and Applied Mathematical Sciences","10","141--146","","","","article","N","N","N","","",""
"1327232","163428","Department of Science and Humanities","A New Subclass Of Bi-Univalent Functions Defined Using Convolution.","2019","0000-00-00","Karthiyayini, O and Sivasankari, V","Palestine Journal of Mathematics","8","229--234","","","","article","N","N","N","","",""
"1327233","163428","Department of Science and Humanities","A New Sub-class of Multivalent Functions.","2008","0000-00-00","Latha, S and Karthiyayini, O","Advances in Inequalities for Series","","135--145","","","","book chapter","N","N","N","","",""
"1327234","163428","Department of Science and Humanities","Second Hankel determinant for subclass of bi-univalent functions involving the Chebyshev polynomials.","2020","0000-00-00","Karthiyayini, O and Sivasankari, V","An. Univ. Oradea Fasc. Mat.","27","5--14","","","","article","N","N","N","","",""
"1327235","163428","Department of Science and Humanities","Certain subclasses of bi-univalent functions defined by Chebyshev polynomials.","2020","0000-00-00","Sivasankari, V and Karthiyayini, O and Magesh, N","Afrika Matematika","","1--15","","","","article","N","N","N","","",""
"1327236","163428","Department of Science and Humanities","A New Heuristic Approach To Find The Initial Basic Feasible Solution Of Crisp And Fuzzy Transportation Problems","2018","0000-00-00","Kumar, R Ravi and Gupta, Radha and Karthiyayini, O and Chaturvedi, Anita","Universal Journal of Mathematics and Mathematical Sciences","11","105--113","","","","article","N","N","N","","",""
"1327237","163428","Department of Science and Humanities","A new approach to find the initial basic feasible solution of a transportation problem","2018","0000-00-00","Kumar, Ravi and Gupta, Radha and Karthiyayini, O","Int. J. Res. Granthaalayah","6","321--325","","","","article","N","N","N","","",""
"1327238","170075","Department of Science and Humanities","Fuzzified Multi-Objective Transportation Problem: A Real coded Genetic Algorithm approach to the Compromised near-to-Optimal solution","2019","2019-03-01","Ravi Kumar R.;Gupta R.;Karthiyayini O.;Kuntal R.S.;Vatsala G.A.","1st International Conference on Advanced Technologies in Intelligent Control, Environment, Computing and Communication Engineering, ICATIECE 2019","","80-84","","10.1109/ICATIECE45860.2019.9063620","2-s2.0-85084107839","Conference Paper","Y","N","N","0","1","4"
"1327240","163428","Department of Science and Humanities","New Subclasses of Bi-univalent functions defined using the Convolution Structure.","2015","0000-00-00","Karthiyayini, O and Sivasankari, V","International Journal of Mathematical Archive","6","57--61","","","","article","N","N","N","","",""
"1327241","163428","Department of Science and Humanities","New Subclasses of Bi-univalent functions defined by Subordination.","2015","0000-00-00","Karthiyayini, O and Sivasankari, V","","4","453--456","","","","inproceedings","N","N","N","","",""
"1327242","163428","Department of Science and Humanities","Coefficient Inequality for some Subclass of Meromorphic Functions.","2016","0000-00-00","Karthiyayini, O and Sivasankari, V","Advances in Theoretical and Applied Mathematics","11","275--279","","","","article","N","N","N","","",""
"1327243","163428","Department of Science and Humanities","A New Subclass of Meromorphic Functions.","2017","0000-00-00","Karthiyayini, O and Sivasankari, V","International Journal of Computer \& Mathematical Sciences,","6","8--15","","","","article","N","N","N","","",""
"1327244","163428","Department of Science and Humanities","Statistical investigation of various methods to find the Initial Basic Feasible Solution of a Transportation problem.","2017","0000-00-00","Ravikumar, R and Gupta, Radha and Karthiyayini, O","International Journal for Research in Applied Science \& Engineering Technology","5","750--754","","","","article","N","N","N","","",""
"1327245","163428","Department of Science and Humanities","A Comparative Study Of Initial Basic Feasible Solution Of Fuzzy Transportation Problems Using Anova.","2018","0000-00-00","Ravikumar, R and Gupta, Radha and Karthiyayini, 0","Journal of Emerging Technologies and Innovative Research","5","776--778","","","","article","N","N","N","","",""
"1327246","163428","Department of Science and Humanities","A New Subclass of Bi-Univalent Functions Associated with Chebyshev Polynomial.","2018","0000-00-00","Karthiyayini, O and Sivasankari, V","Asia Pacific Journal of Mathematics","5","226--232","","","","article","N","N","N","","",""
"1327247","163428","Department of Science and Humanities","An innovative approach to find the initial solution of a fuzzy transportation problem.","2019","0000-00-00","Ravikumar R, Radha Gupta, Karthiyayini O, Vatsala G A","","","2177","","","","inproceedings","N","N","N","","",""
"1327318","162233","Department of Science and Humanities","Thermophysical properties of fly ash–Cu hybrid nanofluid for heat transfer applications","2020","2020-12-01","Kanti P.;Sharma K.V.;Revanasiddappa M.;Ramachandra C.G.;Akilu S.","Heat Transfer","49","4491-4510","8","10.1002/htj.21837","2-s2.0-85096410874","Article","Y","N","N","12","13","4"
"1327334","162814","Department of Computer Science Engineering","Automating Traffic Signals based on Traffic Density Estimation in Bangalore using YOLO","2019","2019-11-01","Bhuptani N.;Trivedi A.;Agarwal P.","2019 4th International Conference on Information Systems and Computer Networks, ISCON 2019","","683-688","","10.1109/ISCON47742.2019.9036213","2-s2.0-85082997740","Conference Paper","Y","N","N","3","2","4"
"1327335","162814","Department of Computer Science Engineering","Aviation Delay Estimation using Deep Learning","2019","2019-11-01","Boggavarapu R.;Agarwal P.;Rohith Kumar D.H.","2019 4th International Conference on Information Systems and Computer Networks, ISCON 2019","","689-693","","10.1109/ISCON47742.2019.9036276","2-s2.0-85082992849","Conference Paper","Y","N","N","3","1","4"
"1327337","162810","Department of Computer Science Engineering","A naive deep nets based approach for authenticating viral textual content on social media","2018","2018-01-01","Sharma R.;Arya T.;Arora S.;Arya A.;Agarwal P.","Advances in Intelligent Systems and Computing","869","679-689","","10.1007/978-3-030-01057-7_52","2-s2.0-85060471850","Conference Paper","Y","N","N","0","0","4"
"1327338","162810","Department of Computer Science Engineering","Iterative machine and deep learning approach for aviation delay prediction","2017","0000-00-00","Venkatesh V.;Arya A.;Agarwal P.;Lakshmi S.;Balana S.","2017 4th IEEE Uttar Pradesh Section International Conference on Electrical, Computer and Electronics, UPCON 2017","2018-January","562-567","","10.1109/UPCON.2017.8251111","","Conference Paper","Y","N","N","12","18","4"
"1327339","162810","Department of Computer Science Engineering","An Ontological Sub-Matrix Factorization based Approach for Cold-Start Issue in Recommender Systems","2018","0000-00-00","Jones A.M.;Arya A.;Agarwal P.;Gaurav P.;Arya T.","International Conference on Current Trends in Computer, Electrical, Electronics and Communication, CTCEEC 2017","","161-166","","","2-s2.0-85054065874","Conference Paper","Y","N","N","3","6","4"
"1327340","162814","Department of Computer Science Engineering","Automated essay rater using natural language processing","2017","0000-00-00","Drolia, Shristi and Rupani, Shrey and Agarwal, Pooja and Singh, Abheejeet","International Journal of Computer Applications","163","44--46","","","","article","N","N","N","","",""
"1327342","162814","Department of Computer Science Engineering","Automatic Fuzzy Classification tool for Customer Loyalty using Gaussian Membership Function","2010","0000-00-00","Arya, Arti and Agarwal, Pooja and Dangeti, A and Pajaan, A and Suresh, A and Praveena, S","Ciit Intl. J. of Data Mining and Knowledge Engineering","","","","","","article","N","N","N","","",""
"1327343","162814","Department of Computer Science Engineering","Fuzzy Decision Tree based Automatic Classifier for Customer Loyalty","2010","0000-00-00","Arya, Arti and Agarwal, P","","","","","","","inproceedings","N","N","N","","",""
"1327356","162814","Department of Computer Science Engineering","A Machine Learning based Approach to Multiclass Classiﬁcation of Customer Loyalty using Deep Nets","2017","0000-00-00","6.	Agarwal, Pooja, Arya, A., Suryaprasad, J., Theophilus, A.","International Review on Computers and Software (IRECOS)","12","103-113","","10.15866/irecos.v12i2.12354","","article","N","N","N","0","0","4"
"1327362","162814","Department of Computer Science Engineering","Leveraging Different Machine Learning Rules in Hopﬁeld Nets for Multiclass Classiﬁcation","2017","0000-00-00","	Agarwal, Pooja, T. J. Abhijit, A. Arya, and J. Suryaprasad","IEEE Future Technologies Conference 2017, Vancouver, Canada","","","","","","conference proceedings","N","N","N","","",""
"1327363","162814","Department of Computer Science Engineering","Comparative Study of Gaussian and Z-shaped curve membership function for Fuzzy Classification Approach","2017","0000-00-00","Agarwal, P., A. Arya, and J. Suryaprasad","International Journal on Computer Sciences and Engineering IJCSE","","573-579","","","","article","N","N","N","","",""
"1327369","163429","Department of Mechanical Engineering","Implant weldability tests on Ductile Iron and Austempered Ductile Iron","2011","0000-00-00","Raghupathy, Dr.S.V. Satish and Dr.V.P.","International Journal of Materials Sciences (IJoMS)","6","pp--15","","","","article","N","N","N","","",""
"1327370","163429","Department of Mechanical Engineering","Analysis of flow over a convertible","2012","0000-00-00","Aniket. A. Kulkarni, Dr. S. V .Satish and Prof. V. Saravanan","","2","69--75","","","","inproceedings","N","N","N","","",""
"1327371","163429","Department of Mechanical Engineering","FRICTION STIR SURFACING OF BRASS AND EVALUATION OF SURFACE PROPERTIES","2012","0000-00-00","Chandru A., S. V. Satish","International Journal of Global Technology Initiatives (IJGTI) ISSN 2277-6591","1","B--11","","","","article","N","N","N","","",""
"1327372","163429","Department of Mechanical Engineering","Study on Friction Stir Surfacing of commercially available Copper","2012","0000-00-00","Vinod Kumar Malkeshwar, S. V. Satish","International Journal of Global Technology Initiatives (IJGTI) ISSN 2277-6591","1","pp--B","","","","article","N","N","N","","",""
"1327373","163429","Department of Mechanical Engineering","Friction Stir Surfacing of Copper","2014","0000-00-00","Satish, Malkeshwar Vinod Kumar and Dr. S.V.","International Journal of Science and Research(IJSR) ISSN(Online): 2319-7064","3","1414--1418","","","","article","N","N","N","","",""
"1327374","163429","Department of Mechanical Engineering","Studies on Welded joints of Austempered Ductile Iron -- A New Engineering Material","2005","0000-00-00","S.V.Satish, K. Narasimha Murthy, V.P. Raghupathy, S.Seetharamu","","1","5","","","","inproceedings","N","N","N","","",""
"1327375","163429","Department of Mechanical Engineering","Studies on Production of Aluminium Sponge","2015","0000-00-00","S.V. Satish, Chandru.A, Ashok","International Journal of Applied Engineering Research (IJAER)","10","32733--32736","","","","article","N","N","N","","",""
"1327377","163429","Department of Mechanical Engineering","Design and Fabrication of Parabolic Solar Stove","2015","0000-00-00","S.V. Satish, Syed Suhaib Ahmed, Santhosh B A, Sujay B R and Sunil Rohith S","International Journal of Applied Engineering Research (IJAER)","10","32729--32732","","","","article","N","N","N","","",""
"1327378","163429","Department of Mechanical Engineering","Studies on cladding technique of dissimilar materials using friction stir welding process","2015","0000-00-00","Kumar, Malkeshwar Vinod and Satish, SV","Indian Journal of Scientific Research","","217--221","","","","article","N","N","N","","",""
"1327379","163429","Department of Mechanical Engineering","Study of moisture effect on the mechanical properties of epoxy nano composites","2015","0000-00-00","Kazi, Azharuddin and Safiulla, Mir and Satish, SV","Indian Journal of Scientific Research","","285--289","","","","article","N","N","N","","",""
"1327380","163429","Department of Mechanical Engineering","Casting of macro porous open cell aluminum sponge with controlled cellular structure","2019","2019-01-01","Chandru A.;Satish S.V.","Materials Today: Proceedings","19","715-720","","10.1016/j.matpr.2019.07.758","2-s2.0-85077305906","Conference Paper","Y","N","N","2","2","4"
"1327381","163429","Department of Mechanical Engineering","Design \& Fabrication of Rotary Automated Bicycle Parking System","2019","0000-00-00","Satish, SV and Noby, Stephen and Sai Mahesh, MS and Habib, Sumanth Ashok and Gowda, Vaibhav","Journal of Automation and Control Engineering Vol","7","","","","","article","N","N","N","","",""
"1327382","163429","Department of Mechanical Engineering","Friction Stir Welding of Aluminum Sponge by Non-Porous Edge Retention","2020","2020-10-01","Chandru A.;Satish S.V.","Journal of The Institution of Engineers (India): Series C","101","793-805","5","10.1007/s40032-020-00593-4","2-s2.0-85086731126","Article","Y","N","N","0","0","4"
"1327401","163429","Department of Mechanical Engineering","Design \& Fabrication of Rotary Automated Bicycle Parking System","2019","0000-00-00","Satish, SV and Noby, Stephen and Sai Mahesh, MS and Habib, Sumanth Ashok and Gowda, Vaibhav","Journal of Automation and Control Engineering Vol","7","","","","","article","N","N","N","","",""
"1327409","163429","Department of Mechanical Engineering","Design \& Fabrication of Rotary Automated Bicycle Parking System","2019","0000-00-00","Satish, SV and Noby, Stephen and Sai Mahesh, MS and Habib, Sumanth Ashok and Gowda, Vaibhav","Journal of Automation and Control Engineering Vol","7","","","","","article","N","N","N","","",""
"1327411","163429","Department of Mechanical Engineering","Design \& Fabrication of Rotary Automated Bicycle Parking System","2019","0000-00-00","Satish, SV and Noby, Stephen and Sai Mahesh, MS and Habib, Sumanth Ashok and Gowda, Vaibhav","Journal of Automation and Control Engineering Vol","7","","","","","article","N","N","N","","",""
"1327426","161151","Department of Pharmacy","A REVIEW ON INCRETIN MIMETICS","2017","0000-00-00","Joyeeta Bhattacharya,Aparna Lakshmi. I*","International Journal of Pharmacometrics and Integrated Biosciences","2","144-148","","","","article","N","N","N","","",""
"1327435","161151","Department of Pharmacy","Restless Leg Syndrome: an unrecognized and misdiagnosed condition","2016","0000-00-00","Joyeeta Bhattacharya, Aparna Lakshmi I.","NSHM Journal of Pharmacy and Healthcare management","07","16-24","","","","article","N","N","N","","",""
"1327947","162787","Department of Science and Humanities","Polyaniline-coated SnO/Y2O3 nanocomposites for broadband EMI shielding and microwave absorption","2017","0000-00-00","Faisal, Muhammad and Giri, Ritwik and Sood, Shivam","Materials Today: Proceedings","4","12039--12044","","","","article","N","N","N","","",""
"1327948","162787","Department of Science and Humanities","Dynamic mechanical analysis and broadband electromagnetic interference shielding characteristics of poly (vinyl alcohol)-poly (4-styrenesulfonic acid)-titanium dioxide nanoparticles based tertiary nanocomposites","2020","2020-05-23","Mohanapriya M.K.;Deshmukh K.;Kadlec J.;Sadasivuni K.K.;Faisal M.;Nambi Raj N.A.;Pasha S.K.K.","Polymer-Plastics Technology and Materials","59","847-863","8","10.1080/25740881.2019.1695274","2-s2.0-85075918325","Article","Y","Y","N","13","23","4"
"1327949","162787","Department of Science and Humanities","Polyaniline-stannous oxide composites: Novel material for broadband EMI shielding","2012","2012-04-02","Faisal M.;Khasim S.","Advanced Materials Research","488-489","557-561","","10.4028/www.scientific.net/AMR.488-489.557","2-s2.0-84859086473","Conference Paper","Y","N","N","14","20","4"
"1327950","162787","Department of Science and Humanities","Incorporation of graphite into iron decorated polypyrrole for dielectric and EMI shielding applications","2020","2020-09-01","Madhusudhan C.K.;Mahendra K.;Madhukar B.S.;Somesh T.E.;Faisal M.","Synthetic Metals","267","","","10.1016/j.synthmet.2020.116450","2-s2.0-85086638638","Article","Y","Y","N","33","32","4"
"1327951","162787","Department of Science and Humanities","Polyaniline-copper oxide composite: A high performance shield against electromagnetic pollution","2015","2015-06-24","Rahul D.;Pais T.;Sharath N.;Ali S.;Faisal M.","AIP Conference Proceedings","1665","","","10.1063/1.4918230","2-s2.0-85063856071","Conference Paper","Y","N","N","2","3","4"
"1327952","162787","Department of Science and Humanities","Polyaniline/graphene hybrid film as an effective broadband electromagnetic shield","2015","2015-01-01","Mohan R.;Varma S.;Faisal M.;S J.","RSC Advances","5","5917-5923","8","10.1039/c4ra13704c","2-s2.0-84921913605","Article","Y","Y","N","63","65","4"
"1327954","162787","Department of Science and Humanities","Broadband electromagnetic shielding and dielectric properties of polyaniline-stannous oxide composites","2013","2013-07-01","Faisal M.;Khasim S.","Journal of Materials Science: Materials in Electronics","24","2202-2210","7","10.1007/s10854-013-1080-y","2-s2.0-84879411672","Article","Y","N","N","48","74","4"
"1327955","162787","Department of Science and Humanities","Electrical conductivity, dielectric behavior and emi shielding effectiveness of polyaniline-yttrium oxide composites","2013","2013-01-20","Faisal M.;Khasim S.","Bulletin of the Korean Chemical Society","34","99-106","1","10.5012/bkcs.2013.34.1.99","2-s2.0-84872981693","Article","Y","N","N","45","50","3"
"1327956","162787","Department of Science and Humanities","Synthesis, characterization and magnetic properties of polyaniline/$\gamma$-Fe 2 O 3 composites","2011","0000-00-00","Khasim, Syed and Raghavendra, SC and Revanasiddappa, M and Sajjan, KC and Lakshmi, Mohana and Faisal, Muhammad","Bulletin of Materials Science","34","1557--1561","","","","article","N","Y","N","","",""
"1327957","162787","Department of Science and Humanities","Humidity sensing property of polyaniline-cromium oxide nanocomposites","2013","0000-00-00","Sajjan, KC and Faisal, Muhammad and Vijaya Kumari, SC and Ravikiran, YT and Khasim, Syed","","1536","289--290","","","","inproceedings","N","N","N","","",""
"1327958","162787","Department of Science and Humanities","Dielectric and electromagnetic interference shielding properties of germanium dioxide nanoparticle reinforced poly (vinyl chloride) and poly (methylmethacrylate) blend nanocomposites","2018","0000-00-00","Joseph, Jenifer and Deshmukh, Kalim and Chidambaram, K and Faisal, Muhammad and Selvarajan, E and Sadasivuni, Kishor Kumar and Ahamed, M Basheer and Pasha, SK Khadheer","Journal of Materials Science: Materials in Electronics","29","20172--20188","","","","article","N","N","N","","",""
"1327959","162787","Department of Science and Humanities","Ku-band EMI shielding effectiveness and dielectric properties of Polyaniline-Y 2 O 3 composites","2014","0000-00-00","Faisal, Muhammad and Khasim, Syed","Polymer Science Series A","56","366--372","","","","article","N","Y","N","","",""
"1327960","162787","Department of Science and Humanities","Electrical and Electromagnetic Interference (EMI) shielding properties of hexagonal boron nitride nanoparticles reinforced polyvinylidene fluoride nanocomposite films","2019","2019-07-24","Sankaran S.;Deshmukh K.;Ahamed M.B.;Sadasivuni K.K.;Faisal M.;Pasha S.K.K.","Polymer-Plastics Technology and Materials","58","1191-1209","11","10.1080/03602559.2018.1542725","2-s2.0-85074862019","Article","Y","Y","N","18","31","4"
"1327961","162787","Department of Science and Humanities","Electromagnetic absorption and shielding behavior of polyaniline-antimony oxide composites","2013","2013-03-15","Faisal M.;Khasim S.","AIP Conference Proceedings","1512","1218-1219","","10.1063/1.4791489","2-s2.0-84874849441","Conference Paper","Y","N","N","1","1","4"
"1327962","162787","Department of Science and Humanities","Morphological, dielectric, tunable electromagnetic interference shielding and thermal characteristics of multiwalled carbon nanotube incorporated polymer nanocomposites: A facile, environmentally benign and cost effective approach realized via polymer latex/waterborne polymer as matrix","2018","2018-05-01","George G.;Simon S.;Prakashan V.;Sajna M.;Faisal M.;Chandran A.;Wilson R.;Biju P.;Joseph C.;Unnikrishnan N.","Polymer Composites","39","E1169-E1183","","10.1002/pc.24689","2-s2.0-85038007661","Article","Y","Y","N","14","12","4"
"1327963","162787","Department of Science and Humanities","X-band microwave absorption and dielectric properties of polyaniline-yttrium oxide composites","2014","2014-05-01","Faisal M.;Khasim S.","E-Polymers","14","209-216","3","10.1515/epoly-2013-0079","2-s2.0-84926431169","Article","Y","Y","N","4","8","4"
"1327964","162787","Department of Science and Humanities","Polyaniline--antimony oxide composites for effective broadband EMI shielding","2013","0000-00-00","Faisal, Muhammad and Khasim, Syed","Iranian Polymer Journal","22","473--480","","","","article","N","Y","N","","",""
"1327965","162787","Department of Science and Humanities","Polyaniline-lead titanate composites for humidity sensing and EMI shielding applications","2015","2015-06-24","Manocha A.;Thomas J.;Fathima H.;Suveetha V.;Faisal M.","AIP Conference Proceedings","1665","","","10.1063/1.4918227","2-s2.0-85063855649","Conference Paper","Y","N","N","1","2","4"
"1327967","162787","Department of Science and Humanities","A Thorough Study: In-Situ Aluminium LM6 Metal Matrix Composites Reinforced with Iron Oxide and MWCNTs","2017","2017-01-01","Nissar Z.;Kazi A.;Safiulla M.;Faisal M.","Materials Today: Proceedings","4","11999-12006","11","10.1016/j.matpr.2017.09.122","2-s2.0-85033721344","Conference Paper","Y","N","N","11","10","4"
"1327968","162787","Department of Science and Humanities","Green and facile approach to prepare polypropylene/in situ reduced graphene oxide nanocomposites with excellent electromagnetic interference shielding properties","2018","0000-00-00","George, Gejo and Simon, Sanu Mathew and Prakashan, VP and Sajna, MS and Faisal, Muhammad and Wilson, Runcy and Chandran, Anoop and Biju, PR and Joseph, Cyriac and Unnikrishnan, NV","RSC advances","8","30412--30428","","","","article","N","Y","N","","",""
"1327984","371531","Department of Mechanical Engineering","Case for dynamic parallelisation using learning techniques","2020","2020-04-01","Gurunathan K.;Kartikey K.;Sudarshan T.S.B.;Divyaprabha K.N.","Proceedings - 2020 IEEE 9th International Conference on Communication Systems and Network Technologies, CSNT 2020","","32-39","","10.1109/CSNT48778.2020.9115757","2-s2.0-85089832326","Conference Paper","Y","N","N","0","0","4"
"1327986","161782","Department of Computer Science Engineering","An Extensible Framework for Task Partitioning on Heterogeneous Systems","2022","2022-01-01","Yekbote P.;Raj P.;Anupindi R.S.;Sudarshan T.S.B.","2022 3rd International Conference for Emerging Technology, INCET 2022","","","","10.1109/INCET54531.2022.9825025","2-s2.0-85136335645","Conference Paper","Y","N","N","1","1","4"
"1327988","161782","Department of Computer Science Engineering","Deep Learning Methods for Animal Recognition and Tracking to Detect Intrusions","2021","0000-00-00","Sayagavi A.V.;Sudarshan T.S.B.;Ravoor P.C.","Information and Communication Technology for Intelligent Systems","196","617-626","","10.1007/978-981-15-7062-9_62","","Conference Paper","Y","N","N","5","5","4"
"1327990","230261","Department of Computer Science Engineering","LALR: Theoretical and Experimental validation of Lipschitz Adaptive Learning Rate in Regression and Neural Networks","2020","2020-07-01","Saha S.;Prashanth T.;Aralihalli S.;Basarkod S.;Sudarshan T.S.B.;Dhavala S.S.","Proceedings of the International Joint Conference on Neural Networks","","","","10.1109/IJCNN48605.2020.9207650","2-s2.0-85093830345","Conference Paper","Y","N","N","5","4","2"
